"lang","country_alpha2_code","continent_code","continent"
"AF","AD","EU","Europa"
"AF","AE","AS","Asië"
"AF","AF","AS","Asië"
"AF","AG","NA","Noord-Amerika"
"AF","AI","NA","Noord-Amerika"
"AF","AL","EU","Europa"
"AF","AM","EU","Europa"
"AF","AO","AF","Afrika"
"AF","AQ","AN","Antartika"
"AF","AR","SA","Suid-Amerika"
"AF","AS","OC","Oseanië"
"AF","AT","EU","Europa"
"AF","AU","OC","Oseanië"
"AF","AW","NA","Noord-Amerika"
"AF","AX","EU","Europa"
"AF","AZ","AS","Asië"
"AF","AZ","EU","Europa"
"AF","BA","EU","Europa"
"AF","BB","NA","Noord-Amerika"
"AF","BD","AS","Asië"
"AF","BE","EU","Europa"
"AF","BF","AF","Afrika"
"AF","BG","EU","Europa"
"AF","BH","AS","Asië"
"AF","BI","AF","Afrika"
"AF","BJ","AF","Afrika"
"AF","BL","NA","Noord-Amerika"
"AF","BM","NA","Noord-Amerika"
"AF","BN","AS","Asië"
"AF","BO","SA","Suid-Amerika"
"AF","BQ","NA","Noord-Amerika"
"AF","BR","SA","Suid-Amerika"
"AF","BS","NA","Noord-Amerika"
"AF","BT","AS","Asië"
"AF","BV","AN","Antartika"
"AF","BW","AF","Afrika"
"AF","BY","EU","Europa"
"AF","BZ","NA","Noord-Amerika"
"AF","CA","NA","Noord-Amerika"
"AF","CC","AS","Asië"
"AF","CD","AF","Afrika"
"AF","CF","AF","Afrika"
"AF","CG","AF","Afrika"
"AF","CH","EU","Europa"
"AF","CI","AF","Afrika"
"AF","CK","OC","Oseanië"
"AF","CL","SA","Suid-Amerika"
"AF","CM","AF","Afrika"
"AF","CN","AS","Asië"
"AF","CO","SA","Suid-Amerika"
"AF","CR","NA","Noord-Amerika"
"AF","CU","NA","Noord-Amerika"
"AF","CV","AF","Afrika"
"AF","CW","NA","Noord-Amerika"
"AF","CX","AS","Asië"
"AF","CY","EU","Europa"
"AF","CZ","EU","Europa"
"AF","DE","EU","Europa"
"AF","DJ","AF","Afrika"
"AF","DK","EU","Europa"
"AF","DM","NA","Noord-Amerika"
"AF","DO","NA","Noord-Amerika"
"AF","DZ","AF","Afrika"
"AF","EC","SA","Suid-Amerika"
"AF","EE","EU","Europa"
"AF","EG","AF","Afrika"
"AF","EH","AF","Afrika"
"AF","ER","AF","Afrika"
"AF","ES","EU","Europa"
"AF","ET","AF","Afrika"
"AF","FI","EU","Europa"
"AF","FJ","OC","Oseanië"
"AF","FK","SA","Suid-Amerika"
"AF","FM","OC","Oseanië"
"AF","FO","EU","Europa"
"AF","FR","EU","Europa"
"AF","GA","AF","Afrika"
"AF","GB","EU","Europa"
"AF","GD","NA","Noord-Amerika"
"AF","GE","AS","Asië"
"AF","GE","EU","Europa"
"AF","GF","SA","Suid-Amerika"
"AF","GG","EU","Europa"
"AF","GH","AF","Afrika"
"AF","GI","EU","Europa"
"AF","GL","NA","Noord-Amerika"
"AF","GM","AF","Afrika"
"AF","GN","AF","Afrika"
"AF","GP","NA","Noord-Amerika"
"AF","GQ","AF","Afrika"
"AF","GR","EU","Europa"
"AF","GS","AN","Antartika"
"AF","GT","NA","Noord-Amerika"
"AF","GU","OC","Oseanië"
"AF","GW","AF","Afrika"
"AF","GY","SA","Suid-Amerika"
"AF","HK","AS","Asië"
"AF","HM","AN","Antartika"
"AF","HN","NA","Noord-Amerika"
"AF","HR","EU","Europa"
"AF","HT","NA","Noord-Amerika"
"AF","HU","EU","Europa"
"AF","ID","AS","Asië"
"AF","IE","EU","Europa"
"AF","IL","AS","Asië"
"AF","IM","EU","Europa"
"AF","IN","AS","Asië"
"AF","IO","AS","Asië"
"AF","IQ","AS","Asië"
"AF","IR","AS","Asië"
"AF","IS","EU","Europa"
"AF","IT","EU","Europa"
"AF","JE","EU","Europa"
"AF","JM","NA","Noord-Amerika"
"AF","JO","AS","Asië"
"AF","JP","AS","Asië"
"AF","KE","AF","Afrika"
"AF","KG","AS","Asië"
"AF","KH","AS","Asië"
"AF","KI","OC","Oseanië"
"AF","KM","AF","Afrika"
"AF","KN","NA","Noord-Amerika"
"AF","KP","AS","Asië"
"AF","KR","AS","Asië"
"AF","KW","AS","Asië"
"AF","KY","NA","Noord-Amerika"
"AF","KZ","AS","Asië"
"AF","KZ","EU","Europa"
"AF","LA","AS","Asië"
"AF","LB","AS","Asië"
"AF","LC","NA","Noord-Amerika"
"AF","LI","EU","Europa"
"AF","LK","AS","Asië"
"AF","LR","AF","Afrika"
"AF","LS","AF","Afrika"
"AF","LT","EU","Europa"
"AF","LU","EU","Europa"
"AF","LV","EU","Europa"
"AF","LY","AF","Afrika"
"AF","MA","AF","Afrika"
"AF","MC","EU","Europa"
"AF","MD","EU","Europa"
"AF","ME","EU","Europa"
